=== Starting training: SEED=42 RUN_ID=awq_seed42_20260429_050241 ===
=== Artifact dir: /workspace/pargolf-work/runs/awq_seed42_20260429_050241 ===
=== NPROC=8 ===
W0429 05:02:42.809000 90934 torch/distributed/run.py:803] 
W0429 05:02:42.809000 90934 torch/distributed/run.py:803] *****************************************
W0429 05:02:42.809000 90934 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0429 05:02:42.809000 90934 torch/distributed/run.py:803] *****************************************
Hyperparameters:
  adam_eps: 1e-08
  adam_wd: 0.02
  artifact_dir: /workspace/pargolf-work/runs/awq_seed42_20260429_050241
  attn_clip_sigmas: 13.0
  attn_out_gate_enabled: False
  attn_out_gate_src: proj
  awq_lite_bits: 8
  awq_lite_enabled: True
  awq_lite_group_size: 64
  awq_lite_group_top_k: 1
  beta1: 0.9
  beta2: 0.99
  caseops_enabled: True
  compressor: pergroup
  data_dir: ./data/
  datasets_dir: /workspace/pargolf-work/data/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved
  distributed: True
  ema_decay: 0.9965
  embed_bits: 7
  embed_clip_sigmas: 14.0
  embed_lr: 0.6
  embed_wd: 0.085
  enable_looping_at: 0.35
  eval_seq_len: 2048
  eval_stride: 64
  fused_ce_enabled: True
  gate_window: 12
  gated_attn_enabled: False
  gated_attn_init_std: 0.01
  gated_attn_quant_gate: True
  global_ttt_batch_seqs: 32
  global_ttt_chunk_tokens: 32768
  global_ttt_epochs: 1
  global_ttt_grad_clip: 1.0
  global_ttt_lr: 0.001
  global_ttt_momentum: 0.9
  global_ttt_respect_doc_boundaries: True
  global_ttt_warmup_chunks: 0
  global_ttt_warmup_start_lr: 0.0
  gptq_calibration_batches: 16
  gptq_reserve_seconds: 0.5
  grad_accum_steps: 1
  grad_clip_norm: 0.3
  is_main_process: True
  iterations: 20000
  ln_scale: True
  local_rank: 0
  logfile: /workspace/pargolf-work/runs/awq_seed42_20260429_050241/awq_seed42_20260429_050241.txt
  logit_softcap: 30.0
  loop_end: 5
  loop_start: 3
  lqer_asym_enabled: True
  lqer_asym_group: 64
  lqer_enabled: True
  lqer_factor_bits: 4
  lqer_gain_select: False
  lqer_rank: 4
  lqer_scope: all
  lqer_top_k: 3
  matrix_bits: 6
  matrix_clip_sigmas: 12.85
  matrix_lr: 0.026
  max_wallclock_seconds: 600.0
  min_lr: 0.1
  mlp_clip_sigmas: 11.5
  mlp_mult: 4.0
  model_dim: 512
  model_path: /workspace/pargolf-work/runs/awq_seed42_20260429_050241/final_model.pt
  muon_backend_steps: 5
  muon_momentum: 0.97
  muon_momentum_warmup_start: 0.92
  muon_momentum_warmup_steps: 1500
  muon_row_normalize: True
  muon_wd: 0.095
  num_heads: 8
  num_kv_heads: 4
  num_layers: 11
  num_loops: 2
  parallel_final_lane: mean
  parallel_start_layer: 8
  phased_ttt_num_phases: 3
  phased_ttt_prefix_docs: 2500
  qk_gain_init: 5.0
  quantized_model_path: /workspace/pargolf-work/runs/awq_seed42_20260429_050241/final_model.int6.ptz
  rank: 0
  rope_base: 10000.0
  rope_dims: 16
  rope_train_seq_len: 2048
  rope_yarn: False
  run_id: awq_seed42_20260429_050241
  scalar_lr: 0.02
  seed: 42
  skip_gates_enabled: True
  smear_gate_enabled: True
  sparse_attn_gate_enabled: True
  sparse_attn_gate_init_std: 0.0
  sparse_attn_gate_scale: 0.5
  tie_embeddings: True
  tied_embed_init_std: 0.005
  tied_embed_lr: 0.03
  tokenizer_path: /workspace/pargolf/records/track_10min_16mb/2026-04-27_SP8192_LQER_SparseGate_BOSSmearFix_9HpStack_1.0611/tokenizers/fineweb_8192_bpe_lossless_caps_caseops_v1_reserved.model
  train_batch_tokens: 786432
  train_files: /workspace/pargolf-work/data/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_train_*.bin
  train_log_every: 500
  train_seq_len: 2048
  ttt_batch_size: 64
  ttt_beta1: 0.0
  ttt_beta2: 0.99
  ttt_chunk_size: 48
  ttt_enabled: True
  ttt_eval_batches: 
  ttt_eval_seq_len: 2048
  ttt_grad_steps: 1
  ttt_k_lora: True
  ttt_lora_lr: 0.0001
  ttt_lora_rank: 80
  ttt_mlp_lora: True
  ttt_o_lora: True
  ttt_optimizer: adam
  ttt_weight_decay: 0.5
  val_batch_tokens: 524288
  val_bytes_files: /workspace/pargolf-work/data/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_bytes_*.bin
  val_doc_fraction: 1.0
  val_files: /workspace/pargolf-work/data/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_*.bin
  val_loss_every: 4000
  vocab_size: 8192
  warmdown_frac: 0.85
  warmup_steps: 20
  world_size: 8
  xsa_last_n: 11
train_shards: 80
val_tokens: 47851520
model_params:35945671
gptq:reserving 0s, effective=599500ms
warmup_cu_buckets:64,128,192,256 iters_each:3
warmup_step: 1/20
warmup_step: 2/20
warmup_step: 3/20
warmup_step: 4/20
warmup_step: 5/20
warmup_step: 6/20
warmup_step: 10/20
warmup_step: 20/20
loop_warmup:enabled encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
loop_warmup_step: 1/20
loop_warmup_step: 2/20
loop_warmup_step: 3/20
loop_warmup_step: 4/20
loop_warmup_step: 5/20
loop_warmup_step: 6/20
loop_warmup_step: 10/20
loop_warmup_step: 20/20
0/20000 val_loss: 9.0076 val_bpb: 4.1159
1/20000 train_loss: 9.0109 train_time: 0.0m tok/s: 18061930
2/20000 train_loss: 12.6608 train_time: 0.0m tok/s: 11392388
3/20000 train_loss: 10.3312 train_time: 0.0m tok/s: 9969099
4/20000 train_loss: 9.1770 train_time: 0.0m tok/s: 9361768
5/20000 train_loss: 7.9874 train_time: 0.0m tok/s: 9058402
500/20000 train_loss: 2.6266 train_time: 0.8m tok/s: 8346539
1000/20000 train_loss: 2.7466 train_time: 1.6m tok/s: 8318344
1500/20000 train_loss: 2.7187 train_time: 2.4m tok/s: 8309959
2000/20000 train_loss: 2.6271 train_time: 3.2m tok/s: 8305645
layer_loop:enabled step:2215 frac:0.350 encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
2500/20000 train_loss: 2.4717 train_time: 4.2m tok/s: 7880578
3000/20000 train_loss: 2.4940 train_time: 5.4m tok/s: 7336864
3500/20000 train_loss: 2.6240 train_time: 6.5m tok/s: 7036254
4000/20000 train_loss: 2.3701 train_time: 7.7m tok/s: 6811025
4000/20000 val_loss: 2.4309 val_bpb: 1.1108
4500/20000 train_loss: 2.5361 train_time: 8.9m tok/s: 6659009
4989/20000 val_loss: 2.3567 val_bpb: 1.0768
stopping_early: wallclock_cap train_time: 599599ms step: 4989/20000
peak memory allocated: 41707 MiB reserved: 47048 MiB
ema:applying EMA weights
diagnostic pre-quantization post-ema val_loss:2.33105143 val_bpb:1.06513037 eval_time:8185ms
Serialized model: 135417533 bytes
Code size (uncompressed): 168543 bytes
Code size (compressed): 33787 bytes
GPTQ:collecting Hessians from calibration data...
GPTQ:collected 67 Hessians in 4.0s
Quantized weights:
  gate_int8_row: blocks.attn.attn_gate_w
  gptq (int6): blocks.attn.c_k.weight, blocks.attn.c_q.weight, blocks.attn.c_v.weight, blocks.attn.proj.weight, blocks.mlp.fc.weight, blocks.mlp.proj.weight
  gptq (int6)+lqer_asym: blocks.mlp.fc.weight
  gptq (int7)+awqgrpint8+lqer_asym: tok_emb.weight
  passthrough (float16): blocks.attn.q_gain, blocks.attn_scale, blocks.mlp_scale, blocks.resid_mix, parallel_post_lambdas, parallel_resid_lambdas, skip_gates, skip_weights, smear_gate.weight, smear_lambda
Serialize: per-group lrzip compression...
Serialize: per-group compression done in 110.0s
Serialized model quantized+pergroup: 15944716 bytes
Total submission size quantized+pergroup: 15978503 bytes
Deserialize: per-group lrzip decompression...
Deserialize: decompression done in 19.8s
diagnostic quantized val_loss:2.34961250 val_bpb:1.07361151 eval_time:12561ms
Deserialize: per-group lrzip decompression...
Deserialize: decompression done in 19.4s
ttt_lora:warming up compile (random tokens, no val data)
ttt_lora:compile warmup done (91.7s)

beginning TTT eval timer
ttt_phased: total_docs:50000 prefix_docs:2500 suffix_docs:47500 num_phases:3 boundaries:[833, 1666, 2500]
ttp: b776/782 bl:2.2579 bb:1.0705 rl:2.2579 rb:1.0705 dl:7534-8350 gd:0
ttp: b773/782 bl:2.1991 bb:1.0356 rl:2.2318 rb:1.0550 dl:6104-6447 gd:0
ttp: b769/782 bl:2.3288 bb:1.0841 rl:2.2578 rb:1.0629 dl:5097-5309 gd:0
ttp: b763/782 bl:2.4204 bb:1.0998 rl:2.2868 rb:1.0697 dl:4142-4283 gd:0
ttpp: phase:1/3 pd:1296 gd:833 t:168.3s
tttg: c1/131 lr:0.001000 t:0.4s
tttg: c2/131 lr:0.001000 t:0.5s
tttg: c3/131 lr:0.000999 t:0.6s
tttg: c4/131 lr:0.000999 t:0.6s
tttg: c5/131 lr:0.000998 t:0.7s
tttg: c6/131 lr:0.000996 t:0.8s
tttg: c7/131 lr:0.000995 t:0.9s
tttg: c8/131 lr:0.000993 t:0.9s
tttg: c9/131 lr:0.000991 t:1.0s
tttg: c10/131 lr:0.000988 t:1.1s
